Index,Center_X,Center_Y,P1_X,P1_Y,P2_X,P2_Y,Width_Px
0,387,216,406,229,375,206,38.600518131237564
1,386,203,400,199,375,205,25.709920264364882
2,381,190,389,182,372,197,22.67156809750927
3,372,179,381,176,361,181,20.615528128088304
4,370,166,381,165,359,166,22.02271554554524
5,373,153,384,158,361,147,25.495097567963924
6,383,142,390,152,376,132,24.413111231467404
7,396,134,402,145,391,126,21.95449840010015
8,404,124,416,124,393,123,23.021728866442675
9,400,111,408,102,391,119,24.041630560342615
10,387,107,386,95,387,118,23.021728866442675
11,374,110,370,99,376,118,19.924858845171276
12,362,118,354,108,369,128,25.0
13,349,126,344,114,354,138,26.0
14,336,127,336,117,334,139,22.090722034374522
15,323,122,329,113,316,130,21.400934559032695
16,311,110,321,102,301,117,25.0
17,301,97,309,88,292,105,24.041630560342615
18,288,91,288,78,287,102,24.020824298928627
19,276,96,266,89,285,102,23.021728866442675
20,274,109,261,111,285,107,24.331050121192877
21,281,122,271,129,290,113,24.839484696748443
22,292,135,283,141,301,127,22.80350850198276
23,303,148,293,154,312,141,23.021728866442675
24,307,161,296,161,319,160,23.021728866442675
25,303,174,295,165,311,183,24.08318915758459
26,290,177,289,166,291,190,24.08318915758459
27,277,178,276,166,278,190,24.08318915758459
28,264,178,264,166,264,190,24.0
29,251,178,251,165,250,190,25.019992006393608
30,238,177,238,165,238,190,25.0
31,225,177,226,165,223,189,24.186773244895647
32,212,175,215,164,208,187,24.041630560342615
33,202,165,213,161,190,168,24.041630560342615
34,203,152,214,155,191,148,24.041630560342615
35,211,139,221,146,202,132,23.600847442411894
36,221,126,231,133,211,119,24.413111231467404
37,226,113,240,114,216,111,24.186773244895647
38,224,100,235,93,214,105,24.186773244895647
39,212,94,213,81,211,104,23.08679276123039
40,199,96,193,86,205,106,23.323807579381203
41,189,108,179,101,199,115,24.413111231467404
42,180,121,170,114,190,128,24.413111231467404
43,170,134,161,128,181,141,23.853720883753127
44,162,147,153,140,171,154,22.80350850198276
45,152,160,143,153,161,166,22.20360331117452
46,141,173,135,164,147,182,21.633307652783937
47,128,176,127,166,129,189,23.08679276123039
48,115,175,119,164,110,186,23.769728648009426
49,103,164,113,158,92,169,23.706539182259394
50,100,151,111,150,88,151,23.021728866442675
51,102,138,113,142,91,134,23.40939982143925
52,112,126,118,136,106,117,22.47220505424423
53,125,122,128,133,121,112,22.135943621178654
54,138,116,145,123,130,109,20.518284528683193
55,142,103,154,102,133,103,21.02379604162864
56,137,90,144,81,130,97,21.2602916254693
57,124,85,125,74,122,95,21.213203435596427
58,111,84,111,73,111,95,22.0
59,98,85,95,74,100,96,22.561028345356956
60,85,89,80,79,89,99,21.93171219946131
61,72,98,64,91,81,106,22.67156809750927
62,64,111,54,107,75,115,22.47220505424423
63,62,124,50,123,72,124,22.02271554554524
64,60,137,49,136,72,138,23.08679276123039
65,61,150,48,150,71,149,23.021728866442675
66,61,163,48,163,71,163,23.0
67,60,176,48,175,71,176,23.021728866442675
68,62,189,50,192,72,185,23.08679276123039
69,68,202,58,209,76,195,22.80350850198276
70,80,213,74,223,85,202,23.706539182259394
71,93,217,90,230,94,206,24.331050121192877
72,106,219,104,231,107,207,24.186773244895647
73,119,219,119,231,119,207,24.0
74,132,219,132,231,132,207,24.0
75,145,219,145,231,145,207,24.0
76,158,219,158,231,158,207,24.0
77,171,219,171,231,171,207,24.0
78,184,219,184,231,184,207,24.0
79,197,219,197,231,197,208,23.0
80,210,219,210,231,210,207,24.0
81,223,219,223,231,223,207,24.0
82,236,219,236,231,236,207,24.0
83,249,219,249,231,249,208,23.0
84,262,217,263,231,260,208,23.194827009486403
85,275,217,273,232,275,208,24.08318915758459
86,288,220,287,232,288,208,24.020824298928627
87,301,220,301,232,301,208,24.0
88,314,220,314,232,314,208,24.0
89,327,220,327,232,327,208,24.0
90,340,220,340,233,340,208,25.0
91,353,221,352,233,353,209,24.020824298928627
92,366,221,366,233,366,208,25.0
93,379,220,382,233,375,206,27.892651361962706
